Comment,Designator,Footprint,LCSC
SW_Push,SW1,SW_PUSH_6mm_H8mm,
Conn_01x04_Female,J1,PinHeader_1x04_P2.54mm_Vertical,
SW_Push,SW3,SW_PUSH_6mm_H8mm,
10K,R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
10K,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
SW_Push,SW2,SW_PUSH_6mm_H8mm,
10K,R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
WeMos_D1_mini,U1,WEMOS_D1_mini_light,
Barrel_Jack,J2,BarrelJack_Horizontal,
Conn_01x08_Female,J3,PinHeader_1x08_P2.54mm_Horizontal,
Conn_01x02_Female,JSW3,PinHeader_1x02_P2.54mm_Horizontal,
Conn_01x02_Female,JSW2,PinHeader_1x02_P2.54mm_Horizontal,
Conn_01x02_Female,JSW1,PinHeader_1x02_P2.54mm_Horizontal,
